network_city,network_name,station_name,station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes
London,santander-cycles,"002633 - Palace Gardens Terrace, Notting Hill",c22e168276f2e869a2e4c0f19be3c3bd,51.50860544,-0.193764092,34,3,37
London,santander-cycles,"001207 - Tavistock Street, Covent Garden",8ffd15ed4e59c4953e1caa6108cff5f3,51.51196803,-0.120718759,9,24,33
London,santander-cycles,"001127 - Risinghill Street, Angel",6344f46f873280d0f644c5c6e08f7b23,51.5333196,-0.1117812,1,24,25
London,santander-cycles,"001222 - Goswell Road (City Uni), Finsbury",c09593793e317790e76f8ed39696c485,51.528246,-0.10102611,13,4,17
London,santander-cycles,"001218 - Flood Street, Chelsea",23a69ac4ef6a7307d45f5a6f56eacdb3,51.48802358,-0.166878535,15,18,33
London,santander-cycles,"001226 - Macclesfield Rd, St Lukes",685ec7e15de302e7e5b48cf569300276,51.529423,-0.097122,5,23,28
London,santander-cycles,"001224 - Vauxhall Street, Vauxhall",b206d6f7fcd68bfd9c5bc5d44e8cc9e9,51.486965,-0.116625,3,16,19
London,santander-cycles,"001229 - High Holborn , Covent Garden",a2bda91285c4211ec318b84e3093ea70,51.516226,-0.124826,12,8,20
London,santander-cycles,"002662 - Butler Place, Westminster",2bac4746bdb4724e87dcdb4cdf9e13fb,51.49782999,-0.135440826,6,12,18
London,santander-cycles,"002666 - Howick Place, Westminster",2e63a39cd85a12083f31d2022220a671,51.49675303,-0.138733562,19,8,27
London,santander-cycles,"002680 - Harrowby Street, Marylebone",ff29665797070bd57a6f6fab26ea5f1f,51.5173721,-0.1642075,9,7,16
London,santander-cycles,"002681 - Harriet Street, Knightsbridge",1ef34aa90f6cb964a929a6ce99413e60,51.50024195,-0.15934065,1,24,25
London,santander-cycles,"002670 - Paddington Green, Paddington",392ea98fd6b699f24a565c640ab7278d,51.520205,-0.174593,17,3,20
London,santander-cycles,"002639 - King Edward Walk, Waterloo",5e8fa1295724fc52ac1b607c742f5ca8,51.49775,-0.10988,1,21,22
London,santander-cycles,"002649 - Sardinia Street, Holborn",d8c7f5fc1ef650ef9609a03113f42d44,51.515208,-0.117863,24,0,24
London,santander-cycles,"002683 - Millbank Tower, Pimlico",4f85079dd0dcd2d273f345f240fc95f5,51.49188409,-0.125674815,24,0,24
London,santander-cycles,"002678 - Farm Street, Mayfair",dbb810088675fbd1e9fb791148c0675c,51.50935171,-0.14744969,4,11,15
London,santander-cycles,"002660 - Frith Street, Soho",ddd725293d95765460863e665a2656b2,51.51310333,-0.13121385,10,8,18
London,santander-cycles,"003504 - Moor Street, Soho",ce3a271d24b321f0c5f986f81d04e4b0,51.51352755,-0.130110822,8,8,16
London,santander-cycles,"001228 - Southampton Street, Strand",64c998bc2d9034829c4561256b2e5036,51.51070161,-0.121723604,1,13,14
London,santander-cycles,"001223 - Buxton Street 1, Shoreditch",d86287521da384a2de8efb32dfc81ae7,51.521776,-0.068856,1,40,41
London,santander-cycles,"001227 - Devonshire Terrace, Bayswater",d2f24b0789a5bdeca881d2fd9cd4f5fd,51.51348,-0.17977,12,4,16
London,santander-cycles,"001129 - Sun Street, Liverpool Street",48c62bda2793ce5deac0a94be8e51838,51.520009,-0.083935724,24,0,24
London,santander-cycles,"010624 - Strata, Elephant & Castle",484160f9061218d6e62a64342a93f8b6,51.493146,-0.099828,16,25,41
London,santander-cycles,"022179 - Exhibition Road, Knightsbridge",3ac0f53e7d63fd7e6021b88a78be5f36,51.499917,-0.174554,20,0,20
London,santander-cycles,"022171 - Red Lion Street, Holborn",894a3f6a2b0c1f0ed33072625b253362,51.51824,-0.11655,22,14,36
London,santander-cycles,"200056 - Vauxhall Walk, Vauxhall",671b57a2aab1e479e99ac532980ed2ef,51.488124,-0.120903,7,20,27
London,santander-cycles,"200053 - Killick Street, King's Cross",ca223882f068af0108340b1129004400,51.5338,-0.118677,2,20,22
